title,vote_average,vote_count,tür,Tür_0,Tür_1,Tür_2,Tür_3,Tür_4,Tür_5,Tür_6,Tür_7,Tür_8,Tür_9,Tür_10,Tür_11,Tür_12,Tür_13,Tür_14,Tür_15,Tür_16,Tür_17,Tür_18,Tür_19
Avatar,7.2,11800,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At World's End,6.9,4500,"['Adventure', 'Fantasy', 'Action']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Spectre,6.3,4466,"['Action', 'Adventure', 'Crime']",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Dark Knight Rises,7.6,9106,"['Action', 'Crime', 'Drama', 'Thriller']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
John Carter,6.1,2124,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Spider-Man 3,5.9,3576,"['Fantasy', 'Action', 'Adventure']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tangled,7.4,3330,"['Animation', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron,7.3,6767,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince,7.4,5293,"['Adventure', 'Fantasy', 'Family']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Batman v Superman: Dawn of Justice,5.7,7004,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Superman Returns,5.4,1400,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Quantum of Solace,6.1,2965,"['Adventure', 'Action', 'Thriller', 'Crime']",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"['Adventure', 'Fantasy', 'Action']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Lone Ranger,5.9,2311,"['Action', 'Adventure', 'Western']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Man of Steel,6.5,6359,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian,6.3,1630,"['Adventure', 'Family', 'Fantasy']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Avengers,7.4,11776,"['Science Fiction', 'Action', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides,6.4,4948,"['Adventure', 'Action', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Men in Black 3,6.2,4160,"['Action', 'Comedy', 'Science Fiction']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
The Hobbit: The Battle of the Five Armies,7.1,4760,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man,6.5,6586,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Robin Hood,6.2,1398,"['Action', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Desolation of Smaug,7.6,4524,"['Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Golden Compass,5.8,1303,"['Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
King Kong,6.6,2337,"['Adventure', 'Drama', 'Action']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Titanic,7.5,7562,"['Drama', 'Romance', 'Thriller']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Captain America: Civil War,7.1,7241,"['Adventure', 'Action', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Battleship,5.5,2114,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Jurassic World,6.5,8662,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Skyfall,6.9,7604,"['Action', 'Adventure', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,6.7,4321,"['Action', 'Adventure', 'Fantasy']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Iron Man 3,6.8,8806,"['Action', 'Adventure', 'Science Fiction']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Alice in Wonderland,6.4,4645,"['Family', 'Fantasy', 'Adventure']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
X-Men: The Last Stand,6.3,3525,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Monsters University,7.0,3528,"['Animation', 'Family']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Revenge of the Fallen,6.0,3138,"['Science Fiction', 'Action', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Transformers: Age of Extinction,5.8,3095,"['Science Fiction', 'Action', 'Adventure']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Oz: The Great and Powerful,5.7,3530,"['Fantasy', 'Adventure', 'Family']",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
